Country,Commodity,Measure,Unit of measure,Year,Value
Colombia,Roots and tubers,Exports,Tonnes,2018,1.8362
Colombia,Roots and tubers,Production,Tonnes,2019,1380.5152
Colombia,Wheat,Area harvested,Hectares,2019,4
Colombia,Wheat,Production,Tonnes,2019,4
Colombia,Cottonseed,Production,Tonnes,2019,17.354
Colombia,Cottonseed,Exports,Tonnes,2019,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2019,20.5
Colombia,Wheat,Exports,Tonnes,2019,18.7874
Colombia,Roots and tubers,Area harvested,Hectares,2019,429.3869
Colombia,Roots and tubers,Exports,Tonnes,2019,1.8849
Colombia,Roots and tubers,Production,Tonnes,2020,1413.6799
Colombia,Wheat,Area harvested,Hectares,2020,3
Colombia,Wheat,Production,Tonnes,2020,5
Colombia,Cottonseed,Production,Tonnes,2020,15.6211
Colombia,Cottonseed,Exports,Tonnes,2020,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2020,18.45
Colombia,Wheat,Exports,Tonnes,2020,19.9882
Colombia,Roots and tubers,Area harvested,Hectares,2020,434.7038
Colombia,Roots and tubers,Exports,Tonnes,2020,1.935
Colombia,Roots and tubers,Production,Tonnes,2021,1454.9157
Colombia,Wheat,Area harvested,Hectares,2021,2.8865
Colombia,Wheat,Production,Tonnes,2021,4.6175
Colombia,Cottonseed,Production,Tonnes,2021,15.6211
Colombia,Cottonseed,Exports,Tonnes,2021,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2021,18.45
Colombia,Wheat,Exports,Tonnes,2021,19.9602
Colombia,Roots and tubers,Area harvested,Hectares,2021,437.1295
Colombia,Roots and tubers,Exports,Tonnes,2021,2.1088
Colombia,Roots and tubers,Production,Tonnes,2022,1469.1252
Colombia,Wheat,Area harvested,Hectares,2022,3.0109
Colombia,Wheat,Production,Tonnes,2022,4.8723
Colombia,Cottonseed,Production,Tonnes,2022,15.6211
Colombia,Cottonseed,Exports,Tonnes,2022,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2022,18.45
Colombia,Wheat,Exports,Tonnes,2022,19.5994
Colombia,Roots and tubers,Area harvested,Hectares,2022,438.5592
Colombia,Roots and tubers,Exports,Tonnes,2022,2.1552
Colombia,Roots and tubers,Production,Tonnes,2023,1503.1251
Colombia,Wheat,Area harvested,Hectares,2023,3.0404
Colombia,Wheat,Production,Tonnes,2023,4.9893
Colombia,Cottonseed,Production,Tonnes,2023,15.6211
Colombia,Cottonseed,Exports,Tonnes,2023,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2023,18.45
Colombia,Wheat,Exports,Tonnes,2023,19.4988
Colombia,Roots and tubers,Area harvested,Hectares,2023,441.332
Colombia,Roots and tubers,Exports,Tonnes,2023,2.3821
Colombia,Roots and tubers,Production,Tonnes,2024,1519.0784
Colombia,Wheat,Area harvested,Hectares,2024,3.0872
Colombia,Wheat,Production,Tonnes,2024,5.1433
Colombia,Cottonseed,Production,Tonnes,2024,15.6211
Colombia,Cottonseed,Exports,Tonnes,2024,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2024,18.45
Colombia,Wheat,Exports,Tonnes,2024,19.3037
Colombia,Roots and tubers,Area harvested,Hectares,2024,442.3897
Colombia,Roots and tubers,Exports,Tonnes,2024,2.4974
Colombia,Wheat,Exports,Tonnes,2025,19.0725
Colombia,Roots and tubers,Production,Tonnes,2025,1546.3197
Colombia,Wheat,Area harvested,Hectares,2025,3.0767
Colombia,Wheat,Production,Tonnes,2025,5.201
Colombia,Cottonseed,Production,Tonnes,2025,15.6211
Colombia,Cottonseed,Exports,Tonnes,2025,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2025,18.45
Colombia,Roots and tubers,Area harvested,Hectares,2025,444.4269
Colombia,Roots and tubers,Exports,Tonnes,2025,2.732
Colombia,Roots and tubers,Production,Tonnes,2026,1565.6723
Colombia,Wheat,Area harvested,Hectares,2026,3.1175
Colombia,Wheat,Production,Tonnes,2026,5.3542
Colombia,Cottonseed,Production,Tonnes,2026,15.6211
Colombia,Cottonseed,Exports,Tonnes,2026,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2026,18.45
Colombia,Wheat,Exports,Tonnes,2026,18.7659
Colombia,Roots and tubers,Area harvested,Hectares,2026,445.963
Colombia,Roots and tubers,Exports,Tonnes,2026,2.8595
Colombia,Roots and tubers,Production,Tonnes,2027,1591.5553
Colombia,Wheat,Area harvested,Hectares,2027,3.1676
Colombia,Wheat,Production,Tonnes,2027,5.5247
Colombia,Cottonseed,Production,Tonnes,2027,15.6211
Colombia,Cottonseed,Exports,Tonnes,2027,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2027,18.45
Colombia,Wheat,Exports,Tonnes,2027,18.4875
Colombia,Roots and tubers,Area harvested,Hectares,2027,448.0458
Colombia,Roots and tubers,Exports,Tonnes,2027,3.0841
Colombia,Roots and tubers,Production,Tonnes,2028,1612.5759
Colombia,Wheat,Area harvested,Hectares,2028,3.2106
Colombia,Wheat,Production,Tonnes,2028,5.6854
Colombia,Cottonseed,Production,Tonnes,2028,15.6211
Colombia,Cottonseed,Exports,Tonnes,2028,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2028,18.45
Colombia,Wheat,Exports,Tonnes,2028,18.2095
Colombia,Roots and tubers,Area harvested,Hectares,2028,449.787
Colombia,Roots and tubers,Exports,Tonnes,2028,3.2468
Colombia,Roots and tubers,Production,Tonnes,2029,1638.2005
Colombia,Wheat,Area harvested,Hectares,2029,3.248
Colombia,Wheat,Production,Tonnes,2029,5.8397
Colombia,Cottonseed,Production,Tonnes,2029,15.6211
Colombia,Cottonseed,Exports,Tonnes,2029,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2029,18.45
Colombia,Roots and tubers,Area harvested,Hectares,2029,451.8621
Colombia,Roots and tubers,Exports,Tonnes,2029,3.5079
Colombia,Wheat,Exports,Tonnes,2029,17.9389
Colombia,Roots and tubers,Production,Tonnes,2030,1659.9581
Colombia,Wheat,Area harvested,Hectares,2030,3.2771
Colombia,Wheat,Production,Tonnes,2030,5.9802
Colombia,Cottonseed,Production,Tonnes,2030,15.6211
Colombia,Cottonseed,Exports,Tonnes,2030,0.0001
Colombia,Cottonseed,Area harvested,Hectares,2030,18.45
Colombia,Wheat,Exports,Tonnes,2030,17.6818
Colombia,Roots and tubers,Area harvested,Hectares,2030,453.7429
Colombia,Roots and tubers,Exports,Tonnes,2030,3.7223
Egypt,Wheat,Exports,Tonnes,2015,252.6991
Egypt,Wheat,Area harvested,Hectares,2015,1458
Egypt,Roots and tubers,Exports,Tonnes,2015,117.4599
Egypt,Wheat,Production,Tonnes,2015,9608
Egypt,Cottonseed,Production,Tonnes,2015,54.833
Egypt,Cottonseed,Exports,Tonnes,2015,30.6
Egypt,Roots and tubers,Area harvested,Hectares,2015,199.529
Egypt,Cottonseed,Area harvested,Hectares,2015,104.504
Egypt,Roots and tubers,Production,Tonnes,2015,1038.8689
Egypt,Wheat,Exports,Tonnes,2016,239.9991
Egypt,Wheat,Area harvested,Hectares,2016,1408.89
Egypt,Roots and tubers,Exports,Tonnes,2016,120.9824
Egypt,Wheat,Production,Tonnes,2016,9342
Egypt,Cottonseed,Production,Tonnes,2016,36.3
Egypt,Cottonseed,Exports,Tonnes,2016,35.2
Egypt,Roots and tubers,Area harvested,Hectares,2016,175.321
Egypt,Cottonseed,Area harvested,Hectares,2016,55.3
Egypt,Roots and tubers,Production,Tonnes,2016,1070.0517
Egypt,Wheat,Exports,Tonnes,2017,407.9996
Egypt,Wheat,Area harvested,Hectares,2017,1227.6
Egypt,Roots and tubers,Exports,Tonnes,2017,124.624
Egypt,Wheat,Production,Tonnes,2017,8421
Egypt,Cottonseed,Production,Tonnes,2017,70.4
Egypt,Cottonseed,Exports,Tonnes,2017,50
Egypt,Roots and tubers,Area harvested,Hectares,2017,189.015
Egypt,Cottonseed,Area harvested,Hectares,2017,91
Egypt,Roots and tubers,Production,Tonnes,2017,1102.1695
Egypt,Wheat,Exports,Tonnes,2018,673.9992
Egypt,Wheat,Area harvested,Hectares,2018,1326
Egypt,Roots and tubers,Exports,Tonnes,2018,128.3626
Egypt,Wheat,Production,Tonnes,2018,8348.629
Egypt,Cottonseed,Production,Tonnes,2018,124.4
Egypt,Cottonseed,Exports,Tonnes,2018,86.1
Egypt,Roots and tubers,Area harvested,Hectares,2018,192.568
Egypt,Cottonseed,Area harvested,Hectares,2018,141.1
Egypt,Roots and tubers,Production,Tonnes,2018,1135.2505
Egypt,Wheat,Exports,Tonnes,2019,518.9994
Egypt,Wheat,Area harvested,Hectares,2019,1410
Egypt,Roots and tubers,Exports,Tonnes,2019,132.2139
Egypt,Wheat,Production,Tonnes,2019,9000
Egypt,Cottonseed,Production,Tonnes,2019,72.8
Egypt,Cottonseed,Exports,Tonnes,2019,66.743
Egypt,Roots and tubers,Area harvested,Hectares,2019,196.7132
Egypt,Cottonseed,Area harvested,Hectares,2019,100.3
Egypt,Roots and tubers,Production,Tonnes,2019,1169.3234
Egypt,Wheat,Exports,Tonnes,2020,599.9994
Egypt,Wheat,Area harvested,Hectares,2020,1425
Egypt,Roots and tubers,Exports,Tonnes,2020,136.1805
Egypt,Wheat,Production,Tonnes,2020,9000
Egypt,Cottonseed,Production,Tonnes,2020,57.9
Egypt,Cottonseed,Exports,Tonnes,2020,55
Egypt,Roots and tubers,Area harvested,Hectares,2020,200.9477
Egypt,Cottonseed,Area harvested,Hectares,2020,75.9
Egypt,Roots and tubers,Production,Tonnes,2020,1204.4031
Egypt,Wheat,Exports,Tonnes,2021,585.0986
Egypt,Wheat,Area harvested,Hectares,2021,1374.8188
Egypt,Roots and tubers,Exports,Tonnes,2021,125.9402
Egypt,Wheat,Production,Tonnes,2021,8889.0434
Egypt,Cottonseed,Production,Tonnes,2021,56.0034
Egypt,Cottonseed,Exports,Tonnes,2021,54.1697
Egypt,Roots and tubers,Area harvested,Hectares,2021,199.4359
Egypt,Cottonseed,Area harvested,Hectares,2021,73.0486
Egypt,Roots and tubers,Production,Tonnes,2021,1208.3339
Egypt,Wheat,Exports,Tonnes,2022,567.9624
Egypt,Wheat,Area harvested,Hectares,2022,1380.2707
Egypt,Roots and tubers,Exports,Tonnes,2022,126.4583
Egypt,Wheat,Production,Tonnes,2022,9034.0152
Egypt,Cottonseed,Production,Tonnes,2022,56.787
Egypt,Cottonseed,Exports,Tonnes,2022,54.2705
Egypt,Roots and tubers,Area harvested,Hectares,2022,201.7562
Egypt,Cottonseed,Area harvested,Hectares,2022,73.721
Egypt,Roots and tubers,Production,Tonnes,2022,1240.1009
Egypt,Wheat,Exports,Tonnes,2023,567.6511
Egypt,Wheat,Area harvested,Hectares,2023,1390.1734
Egypt,Roots and tubers,Exports,Tonnes,2023,133.0093
Egypt,Wheat,Production,Tonnes,2023,9236.4292
Egypt,Cottonseed,Production,Tonnes,2023,58.0431
Egypt,Cottonseed,Exports,Tonnes,2023,54.5338
Egypt,Roots and tubers,Area harvested,Hectares,2023,203.9224
Egypt,Cottonseed,Area harvested,Hectares,2023,74.9897
Egypt,Roots and tubers,Production,Tonnes,2023,1278.4089
Egypt,Wheat,Exports,Tonnes,2024,557.8492
Egypt,Wheat,Area harvested,Hectares,2024,1396.8217
Egypt,Roots and tubers,Exports,Tonnes,2024,135.2441
Egypt,Wheat,Production,Tonnes,2024,9424.3244
Egypt,Cottonseed,Production,Tonnes,2024,58.3414
Egypt,Cottonseed,Exports,Tonnes,2024,54.4817
Egypt,Roots and tubers,Area harvested,Hectares,2024,205.6495
Egypt,Cottonseed,Area harvested,Hectares,2024,75.0015
Egypt,Roots and tubers,Production,Tonnes,2024,1309.8426
Egypt,Cottonseed,Area harvested,Hectares,2025,74.7858
Egypt,Wheat,Exports,Tonnes,2025,550.7163
Egypt,Wheat,Area harvested,Hectares,2025,1397.6268
Egypt,Roots and tubers,Exports,Tonnes,2025,137.6673
Egypt,Wheat,Production,Tonnes,2025,9572.5404
Egypt,Cottonseed,Production,Tonnes,2025,58.4638
Egypt,Cottonseed,Exports,Tonnes,2025,54.3819
Egypt,Roots and tubers,Area harvested,Hectares,2025,207.3292
Egypt,Roots and tubers,Production,Tonnes,2025,1342.0713
Egypt,Wheat,Exports,Tonnes,2026,542.2966
Egypt,Wheat,Area harvested,Hectares,2026,1401.0177
Egypt,Roots and tubers,Exports,Tonnes,2026,137.7199
Egypt,Wheat,Production,Tonnes,2026,9752.3581
Egypt,Cottonseed,Production,Tonnes,2026,58.5306
Egypt,Cottonseed,Exports,Tonnes,2026,54.27
Egypt,Roots and tubers,Area harvested,Hectares,2026,208.9183
Egypt,Cottonseed,Area harvested,Hectares,2026,74.4955
Egypt,Roots and tubers,Production,Tonnes,2026,1374.5054
Egypt,Wheat,Exports,Tonnes,2027,536.4244
Egypt,Wheat,Area harvested,Hectares,2027,1404.374
Egypt,Roots and tubers,Exports,Tonnes,2027,137.8733
Egypt,Wheat,Production,Tonnes,2027,9930.8678
Egypt,Cottonseed,Production,Tonnes,2027,58.7264
Egypt,Cottonseed,Exports,Tonnes,2027,54.2176
Egypt,Roots and tubers,Area harvested,Hectares,2027,210.3769
Egypt,Cottonseed,Area harvested,Hectares,2027,74.3675
Egypt,Roots and tubers,Production,Tonnes,2027,1404.9512
Egypt,Wheat,Exports,Tonnes,2028,531.7608
Egypt,Wheat,Area harvested,Hectares,2028,1407.7616
Egypt,Roots and tubers,Exports,Tonnes,2028,138.7819
Egypt,Wheat,Production,Tonnes,2028,10110.528
Egypt,Cottonseed,Production,Tonnes,2028,58.965
Egypt,Cottonseed,Exports,Tonnes,2028,54.1991
Egypt,Roots and tubers,Area harvested,Hectares,2028,211.9615
Egypt,Cottonseed,Area harvested,Hectares,2028,74.2865
Egypt,Roots and tubers,Production,Tonnes,2028,1437.6184
Egypt,Wheat,Exports,Tonnes,2029,527.0705
Egypt,Wheat,Area harvested,Hectares,2029,1411.1916
Egypt,Roots and tubers,Exports,Tonnes,2029,140.7675
Egypt,Wheat,Production,Tonnes,2029,10294.0007
Egypt,Cottonseed,Production,Tonnes,2029,59.261
Egypt,Cottonseed,Exports,Tonnes,2029,54.2091
Egypt,Roots and tubers,Area harvested,Hectares,2029,213.5389
Egypt,Roots and tubers,Production,Tonnes,2029,1470.3944
Egypt,Cottonseed,Area harvested,Hectares,2029,74.2687
Egypt,Wheat,Exports,Tonnes,2030,522.8165
Egypt,Wheat,Area harvested,Hectares,2030,1413.7022
Egypt,Roots and tubers,Exports,Tonnes,2030,142.8919
Egypt,Wheat,Production,Tonnes,2030,10470.3116
Egypt,Cottonseed,Production,Tonnes,2030,59.5741
Egypt,Cottonseed,Exports,Tonnes,2030,54.2243
Egypt,Roots and tubers,Area harvested,Hectares,2030,215.2131
Egypt,Cottonseed,Area harvested,Hectares,2030,74.2669
Egypt,Roots and tubers,Production,Tonnes,2030,1505.0411
Ethiopia,Cottonseed,Exports,Tonnes,2015,0.2177
Ethiopia,Cottonseed,Area harvested,Hectares,2015,65.901
Ethiopia,Roots and tubers,Area harvested,Hectares,2015,1064.976
Ethiopia,Wheat,Production,Tonnes,2015,4650.0001
Ethiopia,Roots and tubers,Production,Tonnes,2015,2208.2952
Ethiopia,Wheat,Area harvested,Hectares,2015,1620
Ethiopia,Wheat,Exports,Tonnes,2015,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2015,55.5568
Ethiopia,Roots and tubers,Exports,Tonnes,2015,10.6701
Ethiopia,Cottonseed,Exports,Tonnes,2016,0.2177
Ethiopia,Cottonseed,Area harvested,Hectares,2016,82
Ethiopia,Roots and tubers,Area harvested,Hectares,2016,1125.506
Ethiopia,Wheat,Production,Tonnes,2016,4538.0001
Ethiopia,Roots and tubers,Production,Tonnes,2016,2274.544
Ethiopia,Wheat,Area harvested,Hectares,2016,1620
Ethiopia,Wheat,Exports,Tonnes,2016,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2016,55.1033
Ethiopia,Roots and tubers,Exports,Tonnes,2016,10.7582
Ethiopia,Cottonseed,Exports,Tonnes,2017,7
Ethiopia,Cottonseed,Area harvested,Hectares,2017,60
Ethiopia,Roots and tubers,Area harvested,Hectares,2017,1151.379
Ethiopia,Wheat,Production,Tonnes,2017,4643.0001
Ethiopia,Roots and tubers,Production,Tonnes,2017,2342.7804
Ethiopia,Wheat,Area harvested,Hectares,2017,1620
Ethiopia,Wheat,Exports,Tonnes,2017,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2017,47.5
Ethiopia,Roots and tubers,Exports,Tonnes,2017,11.0786
Ethiopia,Cottonseed,Exports,Tonnes,2018,7
Ethiopia,Cottonseed,Area harvested,Hectares,2018,77.637
Ethiopia,Roots and tubers,Area harvested,Hectares,2018,1140.037
Ethiopia,Wheat,Production,Tonnes,2018,4838.0001
Ethiopia,Roots and tubers,Production,Tonnes,2018,2413.0638
Ethiopia,Wheat,Area harvested,Hectares,2018,1620
Ethiopia,Wheat,Exports,Tonnes,2018,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2018,62.753
Ethiopia,Roots and tubers,Exports,Tonnes,2018,11.4085
Ethiopia,Cottonseed,Exports,Tonnes,2019,7
Ethiopia,Cottonseed,Area harvested,Hectares,2019,81.5189
Ethiopia,Roots and tubers,Area harvested,Hectares,2019,1164.9489
Ethiopia,Wheat,Production,Tonnes,2019,5315.0001
Ethiopia,Roots and tubers,Production,Tonnes,2019,2485.4557
Ethiopia,Wheat,Area harvested,Hectares,2019,1620
Ethiopia,Wheat,Exports,Tonnes,2019,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2019,63.8912
Ethiopia,Roots and tubers,Exports,Tonnes,2019,11.7483
Ethiopia,Cottonseed,Exports,Tonnes,2020,7
Ethiopia,Cottonseed,Area harvested,Hectares,2020,82.334
Ethiopia,Roots and tubers,Area harvested,Hectares,2020,1190.4052
Ethiopia,Wheat,Production,Tonnes,2020,5050.0001
Ethiopia,Roots and tubers,Production,Tonnes,2020,2560.0193
Ethiopia,Wheat,Area harvested,Hectares,2020,1620
Ethiopia,Wheat,Exports,Tonnes,2020,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2020,61.0303
Ethiopia,Roots and tubers,Exports,Tonnes,2020,12.0981
Ethiopia,Cottonseed,Exports,Tonnes,2021,8.4565
Ethiopia,Cottonseed,Area harvested,Hectares,2021,82.4816
Ethiopia,Roots and tubers,Area harvested,Hectares,2021,1200.617
Ethiopia,Wheat,Production,Tonnes,2021,5162.907
Ethiopia,Roots and tubers,Production,Tonnes,2021,2630.0672
Ethiopia,Wheat,Area harvested,Hectares,2021,1609.4061
Ethiopia,Wheat,Exports,Tonnes,2021,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2021,62.0568
Ethiopia,Roots and tubers,Exports,Tonnes,2021,15.0026
Ethiopia,Cottonseed,Exports,Tonnes,2022,8.0134
Ethiopia,Cottonseed,Area harvested,Hectares,2022,82.5882
Ethiopia,Roots and tubers,Area harvested,Hectares,2022,1222.9984
Ethiopia,Wheat,Production,Tonnes,2022,5214.9475
Ethiopia,Roots and tubers,Production,Tonnes,2022,2693.1982
Ethiopia,Wheat,Area harvested,Hectares,2022,1599.896
Ethiopia,Wheat,Exports,Tonnes,2022,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2022,63.0557
Ethiopia,Roots and tubers,Exports,Tonnes,2022,13.5912
Ethiopia,Cottonseed,Exports,Tonnes,2023,7.8088
Ethiopia,Cottonseed,Area harvested,Hectares,2023,82.7023
Ethiopia,Roots and tubers,Area harvested,Hectares,2023,1260.5225
Ethiopia,Wheat,Production,Tonnes,2023,5309.0115
Ethiopia,Roots and tubers,Production,Tonnes,2023,2855.9587
Ethiopia,Wheat,Area harvested,Hectares,2023,1597.0871
Ethiopia,Wheat,Exports,Tonnes,2023,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2023,64.0827
Ethiopia,Roots and tubers,Exports,Tonnes,2023,16.0822
Ethiopia,Cottonseed,Exports,Tonnes,2024,7.4777
Ethiopia,Cottonseed,Area harvested,Hectares,2024,82.8417
Ethiopia,Roots and tubers,Area harvested,Hectares,2024,1273.847
Ethiopia,Wheat,Production,Tonnes,2024,5352.4503
Ethiopia,Roots and tubers,Production,Tonnes,2024,2905.2339
Ethiopia,Wheat,Area harvested,Hectares,2024,1583.4729
Ethiopia,Wheat,Exports,Tonnes,2024,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2024,65.1548
Ethiopia,Roots and tubers,Exports,Tonnes,2024,14.8325
Ethiopia,Cottonseed,Exports,Tonnes,2025,7.1835
Ethiopia,Cottonseed,Area harvested,Hectares,2025,83.0225
Ethiopia,Roots and tubers,Area harvested,Hectares,2025,1304.4679
Ethiopia,Wheat,Production,Tonnes,2025,5380.1994
Ethiopia,Roots and tubers,Production,Tonnes,2025,3039.5642
Ethiopia,Wheat,Area harvested,Hectares,2025,1568.5196
Ethiopia,Wheat,Exports,Tonnes,2025,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2025,66.2774
Ethiopia,Roots and tubers,Exports,Tonnes,2025,16.2475
Ethiopia,Cottonseed,Exports,Tonnes,2026,6.8713
Ethiopia,Cottonseed,Area harvested,Hectares,2026,83.1924
Ethiopia,Roots and tubers,Area harvested,Hectares,2026,1317.8233
Ethiopia,Wheat,Production,Tonnes,2026,5439.1414
Ethiopia,Roots and tubers,Production,Tonnes,2026,3100.7064
Ethiopia,Wheat,Area harvested,Hectares,2026,1560.6717
Ethiopia,Wheat,Exports,Tonnes,2026,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2026,67.4115
Ethiopia,Roots and tubers,Exports,Tonnes,2026,15.2855
Ethiopia,Cottonseed,Exports,Tonnes,2027,6.5748
Ethiopia,Cottonseed,Area harvested,Hectares,2027,83.3803
Ethiopia,Roots and tubers,Area harvested,Hectares,2027,1341.7727
Ethiopia,Wheat,Production,Tonnes,2027,5501.0161
Ethiopia,Roots and tubers,Production,Tonnes,2027,3217.0971
Ethiopia,Wheat,Area harvested,Hectares,2027,1554.0604
Ethiopia,Wheat,Exports,Tonnes,2027,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2027,68.5811
Ethiopia,Roots and tubers,Exports,Tonnes,2027,16.1216
Ethiopia,Cottonseed,Exports,Tonnes,2028,6.2902
Ethiopia,Cottonseed,Area harvested,Hectares,2028,83.5701
Ethiopia,Roots and tubers,Area harvested,Hectares,2028,1354.901
Ethiopia,Wheat,Production,Tonnes,2028,5556.635
Ethiopia,Roots and tubers,Production,Tonnes,2028,3286.2235
Ethiopia,Wheat,Area harvested,Hectares,2028,1545.7988
Ethiopia,Wheat,Exports,Tonnes,2028,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2028,69.776
Ethiopia,Roots and tubers,Exports,Tonnes,2028,15.6078
Ethiopia,Cottonseed,Exports,Tonnes,2029,6.0305
Ethiopia,Cottonseed,Area harvested,Hectares,2029,83.8
Ethiopia,Roots and tubers,Area harvested,Hectares,2029,1374.7781
Ethiopia,Wheat,Production,Tonnes,2029,5611.6757
Ethiopia,Roots and tubers,Production,Tonnes,2029,3392.2979
Ethiopia,Wheat,Area harvested,Hectares,2029,1537.1003
Ethiopia,Wheat,Exports,Tonnes,2029,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2029,71.0306
Ethiopia,Roots and tubers,Exports,Tonnes,2029,16.296
Ethiopia,Cottonseed,Exports,Tonnes,2030,5.7625
Ethiopia,Cottonseed,Area harvested,Hectares,2030,84.0234
Ethiopia,Roots and tubers,Area harvested,Hectares,2030,1387.5156
Ethiopia,Wheat,Production,Tonnes,2030,5654.108
Ethiopia,Roots and tubers,Production,Tonnes,2030,3466.6626
Ethiopia,Wheat,Area harvested,Hectares,2030,1525.3867
Ethiopia,Wheat,Exports,Tonnes,2030,0.0001
Ethiopia,Cottonseed,Production,Tonnes,2030,72.302
Ethiopia,Roots and tubers,Exports,Tonnes,2030,16.0508
European Union,Wheat,Exports,Tonnes,2015,34350.3494
European Union,Wheat,Area harvested,Hectares,2015,24928.95
European Union,Wheat,Production,Tonnes,2015,143311.4059
European Union,Cottonseed,Exports,Tonnes,2015,402.9033
European Union,Roots and tubers,Exports,Tonnes,2015,280.7705
European Union,Cottonseed,Production,Tonnes,2015,303.2295
European Union,Roots and tubers,Area harvested,Hectares,2015,1527.16
European Union,Cottonseed,Area harvested,Hectares,2015,330.5066
European Union,Roots and tubers,Production,Tonnes,2015,10461.9241
European Union,Wheat,Exports,Tonnes,2016,27185.8397
European Union,Wheat,Area harvested,Hectares,2016,25200.28
European Union,Wheat,Production,Tonnes,2016,129211.4537
European Union,Cottonseed,Exports,Tonnes,2016,422.6531
European Union,Roots and tubers,Exports,Tonnes,2016,256.247
European Union,Cottonseed,Production,Tonnes,2016,303.4244
European Union,Roots and tubers,Area harvested,Hectares,2016,1550.39
European Union,Cottonseed,Area harvested,Hectares,2016,330.9012
European Union,Roots and tubers,Production,Tonnes,2016,11003.3116
European Union,Wheat,Exports,Tonnes,2017,23644.6758
European Union,Wheat,Area harvested,Hectares,2017,24138.65
European Union,Wheat,Production,Tonnes,2017,136022.9749
European Union,Cottonseed,Exports,Tonnes,2017,412.6633
European Union,Roots and tubers,Exports,Tonnes,2017,282.3663
European Union,Cottonseed,Production,Tonnes,2017,280.5119
European Union,Roots and tubers,Area harvested,Hectares,2017,1601.2
European Union,Cottonseed,Area harvested,Hectares,2017,328.8445
European Union,Roots and tubers,Production,Tonnes,2017,11543.9387
European Union,Wheat,Exports,Tonnes,2018,23381.6447
European Union,Wheat,Area harvested,Hectares,2018,23751.76
European Union,Wheat,Production,Tonnes,2018,123522.6224
European Union,Cottonseed,Exports,Tonnes,2018,454.1329
European Union,Roots and tubers,Exports,Tonnes,2018,199.9176
European Union,Cottonseed,Production,Tonnes,2018,281.3937
European Union,Roots and tubers,Area harvested,Hectares,2018,1562.87
European Union,Cottonseed,Area harvested,Hectares,2018,329.1173
European Union,Roots and tubers,Production,Tonnes,2018,11495.449
European Union,Wheat,Exports,Tonnes,2019,38142.2944
European Union,Wheat,Area harvested,Hectares,2019,24182.83
European Union,Wheat,Production,Tonnes,2019,138364.8411
European Union,Cottonseed,Exports,Tonnes,2019,278.3422
European Union,Roots and tubers,Exports,Tonnes,2019,254.4182
European Union,Cottonseed,Production,Tonnes,2019,279.8113
European Union,Roots and tubers,Area harvested,Hectares,2019,1619.71
European Union,Cottonseed,Area harvested,Hectares,2019,325.8097
European Union,Roots and tubers,Production,Tonnes,2019,11788.9486
European Union,Wheat,Exports,Tonnes,2020,27270.6795
European Union,Wheat,Area harvested,Hectares,2020,23002.7738
European Union,Wheat,Production,Tonnes,2020,122709.8555
European Union,Cottonseed,Exports,Tonnes,2020,373.5717
European Union,Roots and tubers,Exports,Tonnes,2020,172.1357
European Union,Cottonseed,Production,Tonnes,2020,280.6518
European Union,Roots and tubers,Area harvested,Hectares,2020,1602.62
European Union,Cottonseed,Area harvested,Hectares,2020,325.3364
European Union,Roots and tubers,Production,Tonnes,2020,12077.885
European Union,Wheat,Exports,Tonnes,2021,29174.9717
European Union,Wheat,Area harvested,Hectares,2021,23816.8581
European Union,Wheat,Production,Tonnes,2021,127584.7736
European Union,Cottonseed,Exports,Tonnes,2021,399.3214
European Union,Roots and tubers,Exports,Tonnes,2021,177.7153
European Union,Cottonseed,Production,Tonnes,2021,281.2604
European Union,Roots and tubers,Area harvested,Hectares,2021,1592.5109
European Union,Cottonseed,Area harvested,Hectares,2021,324.7203
European Union,Roots and tubers,Production,Tonnes,2021,11994.8171
European Union,Wheat,Exports,Tonnes,2022,30103.25
European Union,Wheat,Area harvested,Hectares,2022,23700.7455
European Union,Wheat,Production,Tonnes,2022,127427.5187
European Union,Cottonseed,Exports,Tonnes,2022,422.884
